artist,song,release_date,duration_ms,status_code
Nelly,#1,,,400
Tariq Trotter,#45Lies Freestyle,,,400
Jean Grae,#8,,,400
Chipmunk,#Alone,,,400
Tariq Trotter,#Ham4Ham: The Hamilton Mixtape Performance,,,400
Danny Brown,#HottestMC,,,400
XXXTentacion,#ImSippinTeaInYoHood,,,400
Ab-Soul,#LTM,,,400
Lauryn Hill,#LetterOfRecognition,,,400
Lil' Kim,#MINE,,,400
XXXTentacion,#PROUDCATOWNER #IHATERAPPERS #IEATPUSSY,,,400
Beanie Sigel,#StillPublicEnemy,,,400
Jay Electronica,#TBE The Curse Of Mayweather,,,400
Chipmunk,#YSN,,,400
Da Brat,#Yak (You Akready Know),,,400
Ty Dolla $ign,$,,,200
Kool G Rap,$ Ova Bitches,,,200
Ice Cube,$100 Dollar Bill Y’all,2001-12-04,219475,200
Busdriver,(Bloody Paw On The) Kill Floor,2007-01-30,192120,200
Fat Joe,(Ha Ha) Slow Down,2010-07-27,205000,200
Foxy Brown,(Holy Matrimony) Letter to the Firm,1996-01-01,206573,200
Earl Sweatshirt,(I be) Outside,,,200
Joe Budden,(Intro) All Love Lost,2015-10-16,441186,200
DJ Khaled,(Intro) I’m So Grateful,2017-06-22,298653,200
Remy Ma,(Intro) Shesus Khyrst,,,200
Common,(Lately) I’ve Been Thinking,,,200
Lil Boosie,(Mama) I’m Sorry,,,200
Denzel Curry,(RIP YAMS) SPACEGHOSTPUSSY,,,200
Cypress Hill,(Rap) Superstar,2000-04-25,293560,200
Cypress Hill,(Rock) Superstar,2000-04-25,276866,200
Lil' Kim,(When Kim Say) Can You Hear Me Now?,2023-11-17,192666,200
NF,-Interlude-,,,200
Biz Markie,...And I Rock,,,200
Public Enemy,...Everything,,,200
Gunna,.223,,,200
LL Cool J,.357 - Break it On Down,1987-07-22,245200,200
Jeezy,.38,,,200
Ace Hood,0 to 100,,,200
Soulja Boy,0 to 100 (Freestyle),,,200
Meek Mill,0 to 100 (Remix),,,200
Drake,0 to 100 / The Catch Up,2013-07-14,275226,200
Lil Durk,0 to 300,,,200
GZA,0% Finance,2013-05-14,260026,200
G-Eazy,0-100 Freestyle,,,200
XXXTentacion,01 MANIKIN,,,200
Chipmunk,0420 (R.I.P Black the Ripper),,,200
Lil Durk,1 (773) Vulture,2018-03-30,198400,200
Public Enemy,1 Million Bottlebags,1991-10-01,246333,200
Z-Ro,1 Night,,,200
E-40,1 Question,2019-07-26,250080,200
Rich Homie Quan,1 Thing i know,,,200
Nipsey Hussle,1 of 1,,,200
Geto Boys,1, 2, the 3,2005-01-25,231960,200
Aesop Rock,1,000 Deaths,1999-10-19,225280,200
Will Smith,1,000 Kisses,2002-11-02,257640,200
Will Smith,1,000 Kisses -Radio Edit,2002-11-02,257640,200
Aesop Rock,1,000 O’ Clock,2012-07-10,238546,200
Logic,1-800-273-8255,2017-05-05,250173,200
Azealia Banks,1-800-Nu-Checks,2020-03-22,121161,200
N.W.A,1-900-2-COMPTON (Interlude),,,200
LL Cool J,1-900-LL Cool J,1989-06-09,181533,200
E-40,1-Luv,1995-03-14,308306,200
21 Savage,1.5,2018-12-21,148655,200
Gang Starr,1/2 & 1/2,,,200
Jeezy,1/4 Block,2014-09-02,201080,200
Big Sean,10 2 10,2013-01-01,202120,200
Too $hort,10 Bad Bitches,,,200
Drake,10 Bands,2015-02-12,177733,200
Chipmunk,10 Commandments,,,200
NF,10 Feet Down,2017-10-06,217106,200
Snoop Dogg,10 Lil’ Crips,2006-01-01,195093,200
Joe Budden,10 Mins.,2003-06-10,601453,200
Nipsey Hussle,10 Toes,,,200
Russ,10 Year Freestyle,2016-09-10,266318,200
MC Lyte,10% Dis,1988,302000,200
Cam'ron,10,000 miles,,,200
Rick Ross,100 Black Coffins,2012-01-01,223893,200
Rich Gang,100 Favors,2013-01-01,248106,200
Ace Hood,100 Foreva,,,200
Mac Miller,100 Grandkids,2015-09-18,278506,200
Big Sean,100 Keys,2011-01-01,229946,200
Logic,100 Miles and Running,2018-09-28,353453,200
N.W.A,100 Miles and Runnin’,,,200
N.W.A,100 Miles and Runnin’ (Clean),,,200
Kool G Rap,100 Rounds (Original Version),,,200
