,song,artist,release_date,duration_ms,lyric,minutes,unique word count,unique word count per minute
4451,Rigamortus,Kendrick Lamar,2011-07-02,168591.0,alright here we go third take real quick ali mmm got me breathing with dragons ill crack the egg in your basket you bastard im marilyn manson with madness now just imagine the magic i light to asses dont ask for your favorite rapper yes sir  church i killed him  bitch and this is rigor mortis and its gorgeous when you die ali recorded and im morpheus the matrix of my mind im out the orbit you an orphan and a hairdresser combined im on the toilet when i rhyme if you the shit then i decline i climax where you begin and then i end on cloud nine and thats important when you morph into an angel in the sky and dont be forging all my signatures my listeners reply and tell me that you biting style you got a hell of an appetite and ima be here for a while just buckle up before the ride or knuckle up if you can fight we always making em duck or die a suit and tie is suitable and usual in suicide csi just might investigate this fucking parasite thats what they telling me aim it at your celebrity this is studio felony ferragami so many and cool enough for the 70s nigga paybacks a bitch and bitch you been livin in debt with me dead em all and especially leave a call on his mother voicemail that say that he rest in peace bigger chopper the recipe wrestling thats irrelevant rather rest at your residence whistling to the melody couldnt think of a better d better be on your p and q its just me jay rock soul and q solar system and barbecue nothing else you can do yupyup  i killed him amen got me breathing with dragons ill crack the egg in your basket you bastard im marilyn manson dont ask for your favorite rapper yupyup  i know for sure  amen got me breathing with dragons ill crack the egg in your basket you bastard im marilyn manson dont ask for your favorite rapper i wrapped him and made him casper i capture the likes of nasa my pedigree to fly past ya ill pass the weed to the pastor we all are sinners wont you send us to bible study faster your hypocritist reaction a blasphemy i assassin my casualty and its casually done and tell em my salary come in lump sum one hundreds dont talk to me bout no money the sun is under my feet and i come in peace to compete i dont run if youd rather leap my statistics go up in weeks and i go visit the nearest creek and i get busy on many mc really ballistic anybody can see any assistance everybody deceased some persistence recognize i be really too vicious the permanent beast and the demolition breaking up the street better partition better dot your t and i gon mention how the far you see putting my dick in the rap industry everybody bitching getting mad at me recognize kendrick in the battery and im charged up and the catastrophe is charged up and the audacity of yall fucks never could hassle me and yall luck just ran out youll see yupyup  i know for sure  amen got me breathing with dragons ill crack the egg in your basket you bastard im marilyn manson dont ask for your favorite rapper yupyup  i know,2.80985,281,100.00533836325782
4214,Premonition (Intro),Eminem,2020-01-17,173893.0,yeah so i guess this is what it is huh think its obvious we aint never gonna see eye to eye but its funny as much as i hate you i need you this is music to be murdered by got a premonition i feel the end is near the beauty starts to fade the joy has turned to pain i hear the symphony playin ten thousand violins souls floating away like feathers in the wind they said my last album i sounded bitter no i sound like a spitter who ninety percent of these hypocrites are tryna get rid of but why would i get a chip on my shoulder i was considered one time as the illest bitch im still as fly as your zipper true i just get richer but if it was ever all about skrilla then i woulda quit a long motherfucking time ago bitch shut the fuck up i should go say that shit to tech n9ne or to jigga nobody said shit about 2 chainz as long as hes been here shit no wonder youre mad now im looking at them plaques count em im ll cool j bigger and deffer thats how come i sell like four mil when i put out a bad album revival flopped came back and i scared the crap out em but rolling stone stars i get two and a half outta five and ill laugh out loud cause thats what they gave bad back in the day which actually made me not feel as bad now cause if it happened to james it can happen to shady they do the same shit to brady more people hate me than love me this game will make you go crazy bout to go for broke i was the g the oat once i was played in rotation at every radio station they said im lyrically amazing but i have nothing to say but then when i put out revival and i had something to say they said that they hated the awake me i lose the rage im too tame i get it back they say im too angry i need to get me some dre beats no i should hook up with tay keith fans keep on pulling me one way haters pull me in another got more hooks in me than swae lee bout to pick up some weights and lift til my tattoo of hailies face stretches they said im just a whiner i sound like a baby i dish it out but cant take it but i take it dish it back out and they get all bent out of shape this shits almost comical wait and i meant no disrespect i wasnt dissin tech that was not a shot at 2 chainz or to jayz they probably feel the same way because lately instead of us being credited for longevity and being able to keep it up for this long at this level we get told well never be what we were bitch if i was as half as good as i was im still twice as good as youll ever be only way that youre ahead of mes alphabetically cause if you diss me im coming after you like the letter v killing everything play this tune its your eulogy its your funeral prepare to die,2.898216666666667,290,100.06153209157354
1597,Ego Trip By Nikki Giovanni,Blackalicious,1999-08-30,104933.0,i was born in the congo i walked to the fertile crescent and built the sphinx i designed a pyramid so tough that a star that only glows every one hundred years falls into the center giving divine perfect light i am bad i sat on the throne drinking nectar with allah i got hot and sent an ice age to europe to cool my thirst my oldest daughter is nefertiti the tears from my birth pains created the nile i am a beautiful woman i gazed on the forest and burned out the sahara desert with a packet of goats meat and a change of clothes i crossed it in two hours i am a gazelle so swift so swift you cant catch me for a birthday present when he was three i gave my son hannibal an elephant he gave me rome for mothers day my strength flows ever on my son noah built newark and i stood proudly at the helm as we sailed on a soft summer day i turned myself into myself and was jesus men intone my loving name all praises all praises i am the one who would save i sowed diamonds in my back yard my bowels deliver uranium the filings from my fingernails are semiprecious jewels on a trip north i caught a cold and blew my nose giving oil to the arab world i am so hip even my errors are correct i sailed west to reach east and had to round off the earth as i went the hair from my head thinned and gold was laid across three continents i am so perfect so divine so ethereal so surreal i cannot be comprehended except by my permission i meanican fly,1.7488833333333333,175,100.06385026636043
502,Bad JuJu,Tech N9ne,2018-02-02,186354.0,i hit back i hit back i hit back i hit back i hit back i hit back i hit back i hit back i hit back we lashin out at you you think you bout it we bout it too only difference is my clout is too massive we active when actors give malice to anybody we close to ill approach you with the woopwop thatll soak you already be so much we go through now we gotta rid you in the mo zoo this is tribal stick his rival in the mouth with a right blow then he get this pyro young punk better lie low somewhere prolly up in cairo with a bible when a psycho wanna give a hater lypo when the knife go with the quickness you so full of bitchness you trip flippin on chicks but a bboy make him wanna shit bricks this is vicious everything out yo lips is fictitious hehe misses made me mad as mozzy huh man the motive must been made of molly huh milli maximize a mess with a mind of malcolm x and a martyr man whose mom is maude huh better be cool ima lead you to the b fools thatll greet you with a  leave you in a coffin all for talkin fecal im a grown mane takin this with no shame really wanna have no brains step foot into my domain no games all of my children are grown and im feelin they love me but dont really like me im illin im no longer locked in a marriage im careless so anyone of my loved ones you funk ill inherit this is my fury fuck being  nzuri i tried that now i keep a gun in my lap talkin so cheap and when it dont end with the grievin im ready for the battle bring it on this evenin comin at me wrong is bad juju you better not make me soowoo you so you best better go run tell your crew do somethin newnew and it better be habari gani ndugu dont make me fight yall the fully gon bite yall ears ringin like sixty gun night ball yeah spray ya like lysol you dont wanna let night fall light yall this be the entry of this b but not no pyramus chicks peep us eye be hella open top a pyramid its giza dip please cause im khufu did you get me tell em you move better quit beefin or this heat hit em then i dip au jus you on a haters kufi i go cuckoo or poopoo like i shit fevers i dont wanna check a temp neither to emcees im the grim reaper so anybody comin at me trippin like you ran around the world with ten visas bet ill really get to pullin everybodys card like i had a chip reader this is iso big dick psycho smash his chick and then skate like a kick flip grind mode they aint wanna see me rockin with tech n9ne though yeah i know could imagine what you allll think if tech signed iso gettin big like bruce bruce mimi ni ajabu foo hit a hater hella hard hell have more clips hit em than hulu who knew me and techll get to cheffin up shit like couscous if you think you fuckin with us ball up your opinion and shove it in your poop shoot cause comin at me wrong is bad juju you better not make me soowoo you so you best better go run tell your crew do somethin newnew and it better be habari gani ndugu dont make me fight yall the fully gon bite yall ears ringin like sixty gun night ball yeah spray ya like lysol you dont wanna let night fall light yall this could be federal take me for feedin you several im on a pedestal should i come down or just let it go this could be federal take me for feedin you several im on a pedestal should i come down or just let it go dont make me fight yall sixty gun night ball,3.1059,311,100.13200682571879
2798,It’s Like That (My Big Brother),Redman,1996-12-10,174906.0,due to technical difficulties beyond our control reggie nobles stinkin ass will not be performing with us tonight erick sermon keep it on def squad erick sermon redman keep keep it on k to m keith murray keep keep it on keep keep on ya dont stop keep keep it on and ya dont stop keep keep it on and ya dont stop ksolo redman and ya dont stop erick sermon keith murray ya dont stop i xd ya amateur damage ya have fools jumpin off cliffs grabbin their ass cheeks yellin geronimo it aint a problem at all we cant solve threehundred sixty degrees rhymes or boulevards are charged by my entourage who put the ram in dodge ras cla in bumba claat maintain few remain in the game so i remain focused hiphops the main aim well its the funk doctor spot the pon cock lyricist my mentalitys so def yo i aint even hearin this shit biscuits be cockin back when i be coming i guess they heard how i be takin mcs out by the hundreds wanted for two million and a body alone and use the microphone as my accomplice scientist still trippin thinkin what the fuck is this funky fungus that growed amongst us sprayed a few shank a few rap crews say they shamed too but cant hang two like we do fuck them they better bow slow this rhymell cold hit em real quick cause im ksolo battle any dude this retifuge im in cruise see what the better vet could do to you undouche you three groups four punkses at a time i box two and knock em out at the drop of a dime yo the long faced murderer servin over two billion motherfuckers a day like mickey ds circular workin a shifty hour like a burglar my crew herbin ya like we never even heard of ya odds are evens that ima be the one creepin my new niggas check the flows of the major deacon the bizarre the rap nonsuperstar when i step up i pump volume like ra my afro blows in threehundred sixty degrees so this makes me the light skinned richard roundtree vocabularys very loquacious and gregarious pump that too go grab the dictionary fly words that we flip on the mike mike my crew be like this styles hype wrongs the opposite forget the bullshh to rhyme like the ksolo you need more than a soul kit come closer while i lock it down like im supposed ta you battle me you won you might have but then you woke up my turbulence will make peanut butter choke up call me the brick city stock cock broker yall niggas is fools playin with hood moves you couldnt total my amount if you sung i missed you dissed you dismissed you yeah i fixed you let your girl suck on the shit that i piss through haha yeah haha keep keep it on haha keep keep it on look ha keep keep it on ha keep keep it on look haha keep keep it on yo what we doin son,2.9151,292,100.16809028849782
5100,Superville,G-Unit,2016-08-30,143480.0,fatality fatality i bet all these classics make the city flip drop committees quick grip on all my rocky willie shit knock you silly with hammers off my block affiliate my fascination grew to snatch your paper crew bash your faces too toolie kept candy at a movie set slept on me i haunt you now leather seats gas and horses round pass the torches how south jamaican nigga course im foul take that cross the street pay me cash and the cost is steep nigga talk is cheap theres two ways to life most end up dead or in jail the lil homies got a cravin ass appetite water boilin stove open on them cold nights and if a nigga aint strapped he aint rollin right gotta check my rear view for them blue and whites td jakes keep preachin bout that street life he get me goin in the mornin got my mind right i got a bulletproof plan you understand ive been through hell already im supposed to be the man drop lamb lil nigga on the rise a body drop em every day and we dont sympathize speedin is my drive one and only still feel like they owe me will get on my od kill if you approach me niggas know we got the realest shit paper stacks to hurt your feelings with nothin changed they hearin it niggas talk behind your back when youre not lookin run up on em ask em whats shakin and get shookin aint nobody gave me the game i just took it then i started my own gang like tookie last thing you seen was a rida gang hoodie them toys talk like woody im hood like an uncle ass whoopin never got my chain tooken crack cocaine cookin put one in your head like im nookie apply pressure with this needle to they blood vessel supplyin what they put inside they straight shooter raid outta texas tryna die state troopers your lifes on the line when youre sellin they frank lucas but my bills on time and my bitches even they shooters pop a molly with you and put two in your medullas these pussy niggas programmed like computers,2.3913333333333333,240,100.36241984945637
3931,Off da Top (3am),Yo Gotti,2016-12-23,161240.0,its 3am west coast time nigga we at fat burger hood nigga rich shit gourmet burgers know what im talkin bout she pussy poppin pocket watchin they call her a thot bad credit cash it out fresh up off the lot no back and forth yippin yappin niggas gettin shot 10 million 20 acres thats the new spot flooded out my crib and told my dealer you the illest renegotiate my contract told my label i aintt feel it fell out with my partner he mixed friendship with our business broke up with my bitch cause she was too much in her feelings i may fuck her friend fuck it i may fuck her friend between me and you i always wanted to fuck her friend if i kill a hater lord you gotta forgive my sins thats one fuck nigga you aint gotta worry about again im forever thuggin i aint never changed in plain colors but forever bangin blowin money but im maintainin blowin money but im maintainin i got a gamblin problem but money cant really solve it tryna help all the real niggas hate to see a nigga starvin hate to see nigga robbin they own people shit thats loyal bitch tryna give me the pussy for a birkin bag i cant afford you i grew listenin to 2pac and that biggie jayz and that nas no gimmick rappers these niggas had bars back when record labels turnin real niggas into stars sendin niggas to mars nowadays the game done got hard you get shot that make you hot but where im from that make you start before i be a pussy id rather rapper had the balls i throw me some guns get myself a charge never see me do that i came too far to look back i did too much to get help 20 mil in one year 100 grand in one night 50k on one flight ive been trappin my whole life aint no secret i be thuggin aint no secret i be hustlin pickin loyalty over money money orders to my homies groupie bitches be all on me leave your phones at the door you wont put me on no blog once i fuck you gotta go 3am aint nothin open but ihop and a bitch legs and my trap spot i said 3am im trappin at the ihop and im connected to the plug like a hotspot like wifi nah nah keep going im a grower we dont do droughts birds in the sky we call them iclouds you know the birds fly down south i took your bitch to eat at mr chows i met the plug at benihanahs on hibachi grills eatin rice and talkin numbers i dont do no middle men and i dont trust no runners ima pay on time and i wont never take you under im an og dope boy i aint nothin like these youngins i dont take the dope im sellin i wont ever do no tellin overnight my pack yeah we call that fedex,2.687333333333333,270,100.47134706028281
5274,The Car Bomb,Dr. Dre,1999-11-16,60893.0,and now the car bomb yo rere come on man lets get the fuck up out of here man all right baby all right speedy im coming damn took a motherfuckin hour to get dressed i told you i was gonna be here over this motherfucker i wanna be in and out now dont fuck around over here and baby im lookin good all right im lookin good im sayin fuck that man im tryin to get the fuck up out of here man all right all right im comin damn shit yo yo yo hold it hold it wassup this shit you know the people right there you know those motherfuckers right there no nigga i dont know you paranoid what the fuck they lookin at im sayin you aint seen the motherfuckers ridin past lookin all at me and shit nigga you trippin now you trippin nigga you trippin lets go scaryass nigga you high or somethin lets keep man fuck that man get in the car man aw goddamn told you dont fuck around over here and shit whatever uhuh damn what the fucks up with my shit you didnt put no gas in this raggedy motherfucker goddamn i just got a tuneup the other day man my shit all that hahaha aint this a bitch pinedout pete lets keep oh my goodness man shut the fuck up let me start my motherfuckin shit fuck you nigga take me,1.0148833333333334,102,100.50416304008671
231,A Very Unlikely Occurrence,MC Frontalot,2008-01-01,59053.0,i thought the chance it was a hundred to one on one thumb i could count up the percentage of my coming undone but then some calculation of impatiently fated rhymes sour patch ribbon to the wreck of my valentine that a fine mess like this should get dished i would have made it more unlikely if i had one wish i take ish with the interstitial liquid bliss and insist another double on the rocks with twist this is a fist full of good credit this is a circumstance that i must edit i said it ever thusly with the bust knee you could trust me cant front without two feet to step fussfree but see thats just fine i lost mine handed then the bandit  my last dime watched the wheels spin thinking infinitesimal my tendecimal chance the professional,0.9842166666666666,99,100.58760774219769
314,Alfred’s Theme,Eminem,2020-12-18,339345.0,before i check the mic i give it a extra swipe with a lysol disinfectant wipe coronavirus in effect tonight antiseptics on deck i got every type i throw on my tux then i  give zero fucks then i act like a jockstrap  cup my nuts then i check my ball hair  make sure its all there then call the pallbearer its music to be murdered by again why stop overkill like a pipe bomb in your pine box youre all hitched to my cock went from punchin a time clock to getting my shot then treated it like a cyclops like its the only one i  got and my thoughts are like nines cocked every lines obscene pervertedest mind got the dirtiest rhyme stocked thats why theres parental advising  every time i drop so throw on the theme to alfred ill channel him like the panama canal but how could i get up in arms about you saying trash is all that i put out bitch i still get the bag when im putting garbage out plus the potty mouth im not about to wash it out the filthiest so all this talk about im washed up how preposterous because if cleanliness is next to godliness its obvious that its impossible for me to be beside myself and im bout that capital like a proper noun still on top the pile got me sitting on numbers like a pocket dial quick to call you out on your bullshit dont make me give that crock a dial cause if i do it see you later alligator made it out the trailer then i made a vow to cater to no one so hate ive gained about the same amount thats in my bank account so heres some more shit for you to complain about i say the bars that never slack  but always get attacked i think theyre gunnin for me its startin to feel like that like im marked cause when i rap its like fallin on my back in a tar pit cause i have this target on my back but if i ever doublecrossed my fans and lost my stans id probably pop five xans go in my garage start my van inhale as much carbon monoxide and exhaust i can and doze off like snores but odds like that with these thoughts i haves like a giant getting squashed by ants if this is the test of time id pass with flying colors like i just tossed my crayons small medium and large size cans sanitizers of all types brands cost nine bands which is a small price for lysol wipes and if my palms brush across my pants i wash my hands shit hold on man motherfuck happy birthday to fuck i sit in silence in candlelit environments sipping wild irish while getting violent homicidal visions when im spitting like this but really im just fulfilling my wish of killing rhymes which is really childish and silly but im really like this im giving nightmares to billie eilish im diddys side bitch what the fuck hold on wait im diddys side bitch oh im still east side bitch so til the end since epmd been givin yall the business  dre and me from the mmlp to  mtbmb bitch its 2020 you still aint seein me so call me santa claus cause at the present  i outrap em all  im at the mall got your bitch in a bathroom stall she could suck a basketball through a plastic straw  with a fractured jaw my dick is coat check  she wanna jack it off im so far past the bar i should practice law mentally im fucked up generally dukes of hazzard car  get the cadaver dogs cause this is murder murder and youll get murked murked this music bout to kill you brr brr this chicken hit my phone she said chirp chirp i said hut hut hike your skirt skirt then go eat some worms like the early bird what the fuck is love thats a dirty word make me fall in it theres not a girl on earth or any other planet thats a world of hurt and i wont buy her designer cause i dont pander but im back with so many knots i need a chiropractor and this the final chapter  cause im either frying after or they gon give me the needle  like a vinyl scratcher yeah im a card like hallmark at walmart with a small cart buying wall art and yall who claim to be dogs arent no bite like a tree mostly just all bark arf arf but yall pickin the wrong tree they call me dog because im barking and i got a lot yeah like where cars park id describe it as bowling  ball hard cause the gutters where my mind is and when its in this frame better split like the five and the ten cause without a second to spare im strikin again and when the beat is up my alley i go right for the pens the cypher begins im talkin smack like heroin the mics a syringe its like a binge vicodin i would liken to tin my mind is a recycling bin theres no place i never been but i never budge and i never bend you hyperextend on me this games life it depends like adult diapers for men even when im rappin less stellar its sour grapes i still whine im the best seller like a trey deuce spray you as these shots penetrate through dres booth and go straight through your grapefruit no escape route so you wont leave here just scathed with a few scrape wounds your ass is grass and i am not gonna graze you but if bars were semimacs id be the mad hatter cause i got so many caps and you dont have any straps so youd be a fitted  so dont act like you fittin to snap bitch ill pee  on your head like a phillies hat no stoppin me youre on a window shopping spree bitch you probably go broke at the dollar tree you never buy shit all you ever cops a plea youre always punkin out like halloween you rather opt to flee you need to stop it punk homie youre not a g act like you got the pump and youre gonna cock the heat or get the glock and dump bitch if you shot a tree you wouldnt pop the trunk yeah and im buddies with alfred we about to disembowel them gut em and scalp em yeah this is bout to be the bloodiest outcome cause we gon make you bleed with every cut from this album so im choppin em up like dahmer the nut job with the nuts that are bigger than jabba the hutt im in the cut and im out for the blood its lookin like its that time of the month carvin em up with the bars while i sharpen em up dog and a mutt im gonna fuck your mom in the butt with a thermometer fuckin phenomenal but yall will get cut the fuck up like abdominals if you dont vamonos i keep droppin like dominos the formidable abominable stompin a mudhole in my comp even if its off the top of the dome son em get the coppertone im at the stop and go coppin the mop and glo got your stomach in knots like you swallowed rope you out of pocket though like a motherfuckin wallet stole wait whyd the beat cut off,5.65575,569,100.60557839367016
